City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Country,Wind Speed,Date
Poum,-20.23,164.02,81.32,83,100,NC,14.09,1609377964
Beringovskiy,63.05,179.32,4.26,93,94,RU,16.89,1609377965
Bambous Virieux,-20.34,57.76,77.0,88,40,MU,14.99,1609377967
Hithadhoo,-0.6,73.08,82.0,78,3,MV,9.08,1609377968
Bilibino,68.05,166.44,-32.35,80,99,RU,2.42,1609377969
Chokurdakh,70.63,147.92,-30.89,85,29,RU,5.03,1609377970
Busselton,-33.65,115.33,82.99,43,0,AU,7.0,1609377971
Khovd,48.01,91.64,-5.94,78,0,MN,0.36,1609377972
Ribeira Grande,38.52,-28.7,59.79,77,98,PT,19.95,1609377974
Rikitea,-23.12,-134.97,78.44,74,0,PF,10.58,1609377975
Kryve Ozero,47.95,30.35,46.51,91,79,UA,13.69,1609377976
Svetlaya,46.54,138.33,-2.65,76,19,RU,10.22,1609377977
Hobart,-42.88,147.33,57.2,67,75,AU,13.87,1609377830
Ushuaia,-54.8,-68.3,51.8,57,40,AR,3.36,1609377980
Hermanus,-34.42,19.23,55.99,92,4,ZA,9.57,1609377981
New Norfolk,-42.78,147.06,55.99,65,100,AU,1.01,1609377982
Ābādān,30.34,48.3,51.8,62,0,IR,2.24,1609377983
Sola,-13.88,167.55,89.6,75,40,VU,5.82,1609377984
Portland,45.52,-122.68,46.99,81,75,US,12.75,1609377834
Tuktoyaktuk,69.45,-133.04,-14.8,75,90,CA,9.17,1609377986
Hilo,19.73,-155.09,80.6,57,1,US,10.29,1609377988
Boralday,43.36,76.86,14.0,92,90,KZ,2.24,1609377989
San Patricio,28.02,-97.52,71.6,83,90,US,12.75,1609377990
Saskylakh,71.92,114.08,-25.89,83,44,RU,9.86,1609377993
Novotroitskaya,45.33,41.53,24.8,100,60,RU,8.95,1609377995
Denizli Province,37.84,29.07,39.2,86,20,TR,5.82,1609377869
Skellefteå,64.75,20.95,24.01,92,99,SE,10.29,1609377997
Kamaishi,39.27,141.88,24.8,45,20,JP,11.41,1609377998
Nikolskoye,59.7,30.79,34.0,93,75,RU,8.95,1609377999
Ponta do Sol,32.67,-17.1,57.2,82,75,PT,9.17,1609378000
Isangel,-19.55,169.27,80.6,83,90,VU,6.93,1609378002
Borazjan,29.27,51.22,57.42,69,0,IR,0.22,1609378003
Bluff,-46.6,168.33,58.73,79,86,NZ,5.17,1609378004
Kathu,7.92,98.33,82.99,88,20,TH,1.12,1609378005
Lompoc,34.64,-120.46,53.6,81,1,US,10.29,1609377775
Vaini,-21.2,-175.2,82.4,74,75,TO,10.29,1609378009
Meadow Lake,34.8,-106.54,37.4,34,1,US,6.93,1609378010
Avarua,-21.21,-159.78,84.2,70,100,CK,10.29,1609378011
Waipawa,-41.41,175.52,66.0,72,13,NZ,12.75,1609378012
Ise,34.48,136.7,39.0,72,73,JP,4.0,1609377728
Lebu,-37.62,-73.65,55.85,74,0,CL,21.36,1609378015
Sibolga,1.74,98.78,75.76,86,100,ID,2.71,1609378016
Kotma,23.2,81.97,52.14,81,25,IN,2.17,1609378017
La Ronge,55.1,-105.28,5.0,84,77,CA,1.68,1609377944
George Town,5.41,100.34,77.0,94,40,MY,2.24,1609377902
Jamestown,42.1,-79.24,42.01,100,90,US,8.05,1609378021
Susanville,40.42,-120.65,44.6,26,1,US,14.99,1609377849
East London,-33.02,27.91,70.38,86,65,ZA,5.93,1609378024
Ola,59.58,151.28,-9.0,81,100,RU,19.01,1609378025
Barrow,71.29,-156.79,-14.8,75,1,US,13.87,1609378026
Ekhabi,53.51,142.97,-13.16,87,46,RU,20.47,1609378027
Plettenberg Bay,-34.05,23.37,63.27,81,0,ZA,5.32,1609378029
Ilulissat,69.22,-51.1,26.6,53,100,GL,28.86,1609378030
Airai,-8.93,125.41,71.8,82,56,TL,1.63,1609378031
Ambon City,-3.7,128.18,86.0,74,20,ID,4.7,1609378032
Albany,42.6,-73.97,36.0,45,100,US,1.99,1609377875
Cabo San Lucas,22.89,-109.91,64.99,55,40,MX,11.41,1609378035
Olafsvik,64.89,-23.71,33.22,88,100,IS,8.63,1609378036
Henties Bay,-22.12,14.28,64.0,88,100,NA,8.43,1609378037
Coquimbo,-29.95,-71.34,60.8,82,0,CL,8.05,1609378038
Kapaa,22.08,-159.32,78.8,69,1,US,11.41,1609378039
Kozhva,65.11,57.05,-20.72,85,0,RU,4.83,1609378040
Manaure,11.78,-72.44,78.49,77,0,CO,17.0,1609378042
Tasiilaq,65.61,-37.64,17.6,57,100,GL,4.7,1609378043
Mumbai,19.01,72.85,71.6,73,3,IN,3.36,1609377924
Bubaque,11.28,-15.83,79.0,78,0,GW,12.64,1609377794
Herat Province,34.5,62.0,28.92,79,100,AF,7.34,1609378046
Mataura,-46.19,168.86,65.41,67,100,NZ,2.98,1609378047
Punta Arenas,-53.15,-70.92,51.8,76,100,CL,11.41,1609378049
Dingle,11.0,122.67,82.31,81,79,PH,13.49,1609378050
Manokwari,-0.87,134.08,83.97,68,40,ID,3.56,1609378051
Port Elizabeth,-33.92,25.57,64.4,93,0,ZA,8.05,1609378052
Bauchi,10.5,10.0,68.52,28,100,NG,4.74,1609378053
Sitka,57.05,-135.33,41.0,86,75,US,12.75,1609378054
Fortuna,40.6,-124.16,51.01,100,90,US,18.34,1609378056
Kruisfontein,-34.0,24.73,61.0,90,0,ZA,5.44,1609378057
Chui,-33.7,-53.46,68.05,89,81,UY,2.28,1609378058
Saýat,38.78,63.88,26.6,100,90,TM,2.24,1609378059
Cherskiy,68.75,161.3,-36.09,83,100,RU,3.94,1609378060
Itupiranga,-5.13,-49.33,75.65,84,100,BR,1.9,1609378061
Cockburn Town,21.46,-71.14,77.0,69,40,TC,13.87,1609378063
Rosendal,59.99,6.01,37.99,80,100,NO,1.01,1609378064
Souillac,-20.52,57.52,77.0,88,40,MU,14.99,1609378065
Korla,41.76,86.15,13.68,84,0,CN,3.67,1609378066
Bethel,41.37,-73.41,36.0,59,1,US,9.17,1609378039
Luganville,-15.53,167.17,86.0,74,40,VU,8.05,1609378068
Sabang,5.89,95.32,81.7,76,19,ID,16.87,1609378070
Mahon,39.89,4.27,48.2,66,0,ES,5.82,1609378071
Butaritari,3.07,172.79,81.66,76,62,KI,20.07,1609378072
Baykit,61.67,96.37,-25.06,78,0,RU,3.0,1609378073
Fare,-16.7,-151.02,81.9,75,94,PF,15.39,1609378074
Ostrovnoy,68.05,39.51,11.79,93,41,RU,11.59,1609378075
Bengkulu,-3.8,102.27,78.4,74,80,ID,2.73,1609378076
Dudinka,69.41,86.18,-2.2,44,0,RU,2.24,1609378038
Padang,-0.95,100.35,77.0,88,100,ID,6.93,1609378079
Cape Town,-33.93,18.42,63.0,77,40,ZA,3.36,1609377972
Bilma,18.69,12.92,61.23,27,0,NE,6.08,1609378081
Mar del Plata,-38.0,-57.56,60.01,87,40,AR,12.75,1609378083
Namtsy,62.72,129.67,-45.4,57,42,RU,3.58,1609378087
Youghal,51.95,-7.85,34.0,86,20,IE,10.29,1609378088
Soyo,-6.13,12.37,78.08,89,100,AO,7.96,1609377871
Bonavista,48.65,-53.11,21.2,79,39,CA,11.41,1609378090
Ati,13.22,18.34,74.35,22,0,TD,12.39,1609378092
Hailar,49.2,119.7,-15.56,84,11,CN,4.88,1609378093
Salekhard,66.53,66.6,-22.99,86,13,RU,5.93,1609378036
Carballo,43.21,-8.69,46.99,94,100,ES,1.01,1609378033
Carnarvon,-24.87,113.63,80.6,83,57,AU,14.99,1609378097
Pandan,14.05,124.17,79.54,84,100,PH,24.92,1609378099
Mehamn,71.04,27.85,24.96,95,83,NO,13.38,1609378100
Lahr,48.35,7.87,37.0,93,0,DE,6.93,1609378101
Port Alfred,-33.59,26.89,69.01,93,72,ZA,1.99,1609378103
Broome,42.25,-75.83,36.0,85,75,US,9.17,1609378104
Huarmey,-10.07,-78.15,69.53,82,100,PE,6.04,1609378106
Luwuk,-0.95,122.79,85.1,63,97,ID,1.63,1609378108
Koslan,63.46,48.9,3.69,94,100,RU,5.46,1609378109
Talnakh,69.49,88.4,-2.2,44,0,RU,2.24,1609378110
Opuwo,-18.06,13.84,68.99,63,100,NA,2.98,1609378113
São Filipe,14.9,-24.5,74.82,75,79,CV,7.81,1609378114
Seoul,37.57,126.98,17.6,40,1,KR,8.46,1609378115
Kailua,21.4,-157.74,82.4,61,40,US,12.75,1609378116
Yellowknife,62.46,-114.35,0.0,84,90,CA,2.24,1609378117
Tambura,5.6,27.47,73.02,38,69,SS,1.52,1609378118
Lázaro Cárdenas,17.96,-102.2,71.96,77,1,MX,7.07,1609378120
Qaanaaq,77.48,-69.36,14.32,78,100,GL,13.27,1609378121
Upernavik,72.79,-56.15,22.24,96,100,GL,6.69,1609378122
Jalor,25.35,72.62,44.02,56,0,IN,7.54,1609378123
Kalāleh,37.38,55.49,37.4,86,90,IR,2.91,1609378124
Guerrero Negro,27.98,-114.06,60.31,44,0,MX,18.39,1609378125
Ilebo,-4.32,20.58,69.67,95,100,CD,1.28,1609378127
Faanui,-16.48,-151.75,80.62,78,83,PF,15.01,1609378129
Atuona,-9.8,-139.03,78.73,73,2,PF,18.3,1609378130
Pangnirtung,66.15,-65.71,-6.21,78,18,CA,2.8,1609378131
Obigarm,38.72,69.71,16.99,68,0,TJ,7.7,1609378132
Anadyr,64.75,177.48,12.2,78,40,RU,22.37,1609378136
Port Hardy,50.7,-127.42,48.2,81,75,CA,24.16,1609378137
Narsaq,60.92,-46.05,41.0,65,100,GL,20.8,1609378138
Helong,42.54,129.0,-0.63,74,3,CN,11.99,1609378139
Vao,-22.67,167.48,77.88,84,100,NC,24.65,1609378140
Hasaki,35.73,140.83,39.0,32,20,JP,14.99,1609378142
Gannan,47.91,123.5,-5.75,80,0,CN,7.14,1609378143
Gigmoto,13.78,124.39,80.08,82,100,PH,22.3,1609378144
Pisco,-13.7,-76.22,68.0,88,0,PE,10.29,1609378145
Dikson,73.51,80.55,-20.9,84,0,RU,7.52,1609378146
Muravlenko,63.79,74.52,-20.97,88,9,RU,7.36,1609378148
Picayune,30.53,-89.68,66.2,88,75,US,5.82,1609378149
Alice Springs,-23.7,133.88,89.01,15,0,AU,17.22,1609378056
Teknāf,20.86,92.31,62.31,63,6,BD,4.27,1609378152
Grande Prairie,55.17,-118.8,12.2,85,75,CA,1.88,1609378153
El Sauzal de Rodríguez,31.9,-116.68,57.99,82,0,MX,6.69,1609378155
Bharatpur,27.22,77.48,40.84,67,1,IN,4.56,1609378157
Shakawe,-18.37,21.85,70.74,85,90,BW,4.05,1609378158
Cayenne,4.93,-52.33,77.0,100,100,GF,5.06,1609378159
Porto-Novo,6.5,2.6,82.4,83,20,BJ,8.05,1609378160
Tungor,53.38,142.96,-13.25,86,100,RU,19.82,1609378162
Saint Paul Harbor,57.79,-152.41,33.8,80,1,US,4.7,1609378163
Cidreira,-30.18,-50.21,78.13,74,0,BR,10.31,1609378164
Nanortalik,60.14,-45.24,34.34,87,100,GL,30.82,1609378165
Taltal,-25.4,-70.48,65.73,71,8,CL,2.75,1609378166
Mahébourg,-20.41,57.7,77.0,88,40,MU,14.99,1609378167
Thompson,55.74,-97.86,6.8,92,90,CA,1.39,1609377985
Puerto Ayora,-0.74,-90.35,72.54,85,58,EC,8.23,1609378170
Vaitape,-16.52,-151.75,81.46,75,100,PF,17.25,1609378171
Ţahţā,26.77,31.5,50.0,81,0,EG,4.7,1609378172
Khāsh,28.22,61.22,34.11,65,0,IR,4.99,1609378173
Torbay,47.67,-52.73,28.99,68,20,CA,23.04,1609378174
Salalah,17.02,54.09,69.8,56,0,OM,8.05,1609378177
Lorengau,-2.02,147.27,85.87,62,100,PG,5.21,1609378178
Brae,60.4,-1.35,42.8,87,96,GB,14.99,1609378179
Lata,40.16,-8.33,46.99,93,40,PT,4.7,1609378180
Mahon,39.89,4.27,48.2,66,0,ES,5.82,1609378181
Khatanga,71.97,102.5,-28.77,82,0,RU,5.12,1609378183
Zitsa,39.69,20.64,50.0,87,100,GR,9.17,1609378184
Altagracia de Orituco,9.86,-66.38,69.98,88,41,VE,5.61,1609378185
Mattru,7.62,-11.83,74.61,93,0,SL,1.66,1609378186
Conceição do Araguaia,-8.26,-49.26,77.11,78,96,BR,3.22,1609378187
Iquique,-20.22,-70.14,69.8,73,0,CL,11.41,1609378188
Tuy Hoa,13.08,109.3,71.53,84,100,VN,21.45,1609378189
Borovoy,55.43,86.08,5.0,71,40,RU,15.66,1609378191
Saint-Philippe,-21.36,55.77,75.2,83,20,RE,19.46,1609378192
Ubaíra,-13.27,-39.66,67.5,93,28,BR,3.29,1609378193
Agidel,55.91,53.94,8.78,96,91,RU,5.5,1609378194
Castro,-24.79,-50.01,65.53,92,79,BR,4.12,1609378195
Norman Wells,65.28,-126.83,-2.2,77,90,CA,6.93,1609378196
Arlit,18.74,7.39,64.94,23,58,NE,5.19,1609378198
Russell,32.35,-85.2,57.2,93,75,US,7.16,1609378199
Lima,-12.04,-77.03,69.8,83,90,PE,9.17,1609378068
Guliston,40.49,68.78,26.19,96,0,UZ,2.17,1609378201
Kushiro,42.98,144.37,19.4,44,20,JP,12.75,1609378203
Maceió,-9.67,-35.74,77.0,88,40,BR,6.93,1609378205
Kidal,18.44,1.41,66.67,29,0,ML,5.84,1609378206
The Valley,18.22,-63.06,78.01,78,20,AI,19.46,1609378208
Harboøre,56.62,8.18,37.99,97,64,DK,5.23,1609378209
Churapcha,62.0,132.43,-35.61,80,44,RU,2.26,1609378210
Esim,4.87,-2.24,79.11,88,23,GH,6.38,1609378211
Garoowe,8.41,48.48,63.95,80,0,SO,10.89,1609378214
Mareeba,-17.0,145.43,90.0,70,94,AU,3.36,1609378217
Kjøllefjord,70.95,27.35,24.42,94,92,NO,12.66,1609378218
Port Lincoln,-34.73,135.87,67.64,65,25,AU,18.01,1609378220
Oxapampa,-10.58,-75.4,59.67,90,100,PE,2.21,1609378221
Dembī Dolo,8.53,34.8,62.11,54,35,ET,4.07,1609378223
Saint-Augustin,51.23,-58.65,8.38,84,0,CA,11.25,1609378224
Yaqui,27.37,-110.17,60.8,38,20,MX,10.29,1609378225
Ous,60.91,61.52,-26.05,85,7,RU,2.98,1609378226
Miles City,46.41,-105.84,26.6,63,1,US,6.93,1609378228
High Level,58.52,-117.14,5.0,84,75,CA,2.24,1609378229
Kavaratti,10.57,72.64,83.03,72,1,IN,8.12,1609378231
Longyearbyen,78.22,15.64,28.4,86,75,SJ,3.36,1609378232
Christchurch,-43.53,172.63,64.4,55,100,NZ,17.22,1609377985
Nome,64.5,-165.41,21.2,79,1,US,5.82,1609378235
Mexico,15.06,120.72,77.0,65,75,PH,4.7,1609378236
Kizhinga,51.85,109.91,-14.8,86,95,RU,3.29,1609378237
Beipiao,41.79,120.78,5.05,69,0,CN,5.39,1609378238
Pochutla,15.74,-96.47,80.6,61,5,MX,6.67,1609378239
Lagoa,39.05,-27.98,58.59,73,99,PT,16.96,1609378240
Dhidhdhoo,6.88,73.1,81.81,77,2,MV,10.69,1609378242
Micheweni,-4.97,39.83,80.28,81,99,TZ,11.41,1609378243
Price,39.6,-110.81,19.4,73,90,US,1.32,1609378244
